nombre_producto,alias_variacion,nombre_grupo_variacion_1,nombre_opcion_1,nombre_grupo_variacion_2,nombre_opcion_2,nombre_grupo_variacion_3,nombre_opcion_3
Coco Coffee Foam,coco_foam_leche_lata,Base de Bebida,Leche de Coco,Envase,Lata,,
Lotus Cold Foam,lotus_foam_entera_vaso,Tipo de Leche,Entera,Envase,Vaso,,
Lotus Cold Foam,lotus_foam_light_vaso,Tipo de Leche,Light,Envase,Vaso,,
Lotus Cold Foam,lotus_foam_deslactosada_vaso,Tipo de Leche,Deslactosada,Envase,Vaso,,
Lotus Cold Foam,lotus_foam_almendra_vaso,Tipo de Leche,Almendra,Envase,Vaso,,
Lotus Cold Foam,lotus_foam_avena_vaso,Tipo de Leche,Avena Oatly,Envase,Vaso,,
Lotus Cold Foam,lotus_foam_coco_vaso,Tipo de Leche,Coco,Envase,Vaso,,
Lotus Cold Foam,lotus_foam_soya_vainilla_vaso,Tipo de Leche,Soya Vainilla,Envase,Vaso,,
Lotus Cold Foam,lotus_foam_entera_lata,Tipo de Leche,Entera,Envase,Lata,,
Lotus Cold Foam,lotus_foam_light_lata,Tipo de Leche,Light,Envase,Lata,,
Lotus Cold Foam,lotus_foam_deslactosada_lata,Tipo de Leche,Deslactosada,Envase,Lata,,
Lotus Cold Foam,lotus_foam_almendra_lata,Tipo de Leche,Almendra,Envase,Lata,,
Lotus Cold Foam,lotus_foam_avena_lata,Tipo de Leche,Avena Oatly,Envase,Lata,,
Lotus Cold Foam,lotus_foam_coco_lata,Tipo de Leche,Coco,Envase,Lata,,
Lotus Cold Foam,lotus_foam_soya_vainilla_lata,Tipo de Leche,Soya Vainilla,Envase,Lata,,
Tiramisú Cold Foam,tiramisu_foam_entera_vaso,Tipo de Leche,Entera,Envase,Vaso,,
Tiramisú Cold Foam,tiramisu_foam_light_vaso,Tipo de Leche,Light,Envase,Vaso,,
Tiramisú Cold Foam,tiramisu_foam_deslactosada_vaso,Tipo de Leche,Deslactosada,Envase,Vaso,,
Tiramisú Cold Foam,tiramisu_foam_almendra_vaso,Tipo de Leche,Almendra,Envase,Vaso,,
Tiramisú Cold Foam,tiramisu_foam_avena_vaso,Tipo de Leche,Avena Oatly,Envase,Vaso,,
Tiramisú Cold Foam,tiramisu_foam_coco_vaso,Tipo de Leche,Coco,Envase,Vaso,,
Tiramisú Cold Foam,tiramisu_foam_soya_vainilla_vaso,Tipo de Leche,Soya Vainilla,Envase,Vaso,,
Tiramisú Cold Foam,tiramisu_foam_entera_lata,Tipo de Leche,Entera,Envase,Lata,,
Tiramisú Cold Foam,tiramisu_foam_light_lata,Tipo de Leche,Light,Envase,Lata,,
Tiramisú Cold Foam,tiramisu_foam_deslactosada_lata,Tipo de Leche,Deslactosada,Envase,Lata,,
Tiramisú Cold Foam,tiramisu_foam_almendra_lata,Tipo de Leche,Almendra,Envase,Lata,,
Tiramisú Cold Foam,tiramisu_foam_avena_lata,Tipo de Leche,Avena Oatly,Envase,Lata,,
Tiramisú Cold Foam,tiramisu_foam_coco_lata,Tipo de Leche,Coco,Envase,Lata,,
Tiramisú Cold Foam,tiramisu_foam_soya_vainilla_lata,Tipo de Leche,Soya Vainilla,Envase,Lata,,
Nutella Latte,nutella_entera,Tipo de Leche,Entera,,,,
Nutella Latte,nutella_light,Tipo de Leche,Light,,,,
Nutella Latte,nutella_deslactosada,Tipo de Leche,Deslactosada,,,,
Nutella Latte,nutella_almendra,Tipo de Leche,Almendra,,,,
Nutella Latte,nutella_avena,Tipo de Leche,Avena Oatly,,,,
Nutella Latte,nutella_coco,Tipo de Leche,Coco,,,,
Nutella Latte,nutella_soya_vainilla,Tipo de Leche,Soya Vainilla,,,,
Mint White Mocha Caliente,mint_white_mocha_entera,Tipo de Leche,Entera,,,,
Mint White Mocha Caliente,mint_white_mocha_light,Tipo de Leche,Light,,,,
Mint White Mocha Caliente,mint_white_mocha_deslactosada,Tipo de Leche,Deslactosada,,,,
Mint White Mocha Caliente,mint_white_mocha_almendra,Tipo de Leche,Almendra,,,,
Mint White Mocha Caliente,mint_white_mocha_avena,Tipo de Leche,Avena Oatly,,,,
Mint White Mocha Caliente,mint_white_mocha_coco,Tipo de Leche,Coco,,,,
Mint White Mocha Caliente,mint_white_mocha_soya_vainilla,Tipo de Leche,Soya Vainilla,,,,
Mint White Mocha Frío,mint_white_cold_entera_vaso,Tipo de Leche,Entera,Envase,Vaso,,
Mint White Mocha Frío,mint_white_cold_light_vaso,Tipo de Leche,Light,Envase,Vaso,,
Mint White Mocha Frío,mint_white_cold_deslactosada_vaso,Tipo de Leche,Deslactosada,Envase,Vaso,,
Mint White Mocha Frío,mint_white_cold_almendra_vaso,Tipo de Leche,Almendra,Envase,Vaso,,
Mint White Mocha Frío,mint_white_cold_avena_vaso,Tipo de Leche,Avena Oatly,Envase,Vaso,,
Mint White Mocha Frío,mint_white_cold_coco_vaso,Tipo de Leche,Coco,Envase,Vaso,,
Mint White Mocha Frío,mint_white_cold_soya_vainilla_vaso,Tipo de Leche,Soya Vainilla,Envase,Vaso,,
Mint White Mocha Frío,mint_white_cold_entera_lata,Tipo de Leche,Entera,Envase,Lata,,
Mint White Mocha Frío,mint_white_cold_light_lata,Tipo de Leche,Light,Envase,Lata,,
Mint White Mocha Frío,mint_white_cold_deslactosada_lata,Tipo de Leche,Deslactosada,Envase,Lata,,
Mint White Mocha Frío,mint_white_cold_almendra_lata,Tipo de Leche,Almendra,Envase,Lata,,
Mint White Mocha Frío,mint_white_cold_avena_lata,Tipo de Leche,Avena Oatly,Envase,Lata,,
Mint White Mocha Frío,mint_white_cold_coco_lata,Tipo de Leche,Coco,Envase,Lata,,
Mint White Mocha Frío,mint_white_cold_soya_vainilla_lata,Tipo de Leche,Soya Vainilla,Envase,Lata,,
Mint White Mocha Frappé,mint_white_frappe_entera,Tipo de Leche,Entera,,,,
Mint White Mocha Frappé,mint_white_frappe_light,Tipo de Leche,Light,,,,
Mint White Mocha Frappé,mint_white_frappe_deslactosada,Tipo de Leche,Deslactosada,,,,
Mint White Mocha Frappé,mint_white_frappe_almendra,Tipo de Leche,Almendra,,,,
Mint White Mocha Frappé,mint_white_frappe_avena,Tipo de Leche,Avena Oatly,,,,
Mint White Mocha Frappé,mint_white_frappe_coco,Tipo de Leche,Coco,,,,
Mint White Mocha Frappé,mint_white_frappe_soya_vainilla,Tipo de Leche,Soya Vainilla,,,,
Matcha Latte Caliente,matcha_caliente_entera,Tipo de Leche,Entera,,,,
Matcha Latte Caliente,matcha_caliente_light,Tipo de Leche,Light,,,,
Matcha Latte Caliente,matcha_caliente_deslactosada,Tipo de Leche,Deslactosada,,,,
Matcha Latte Caliente,matcha_caliente_almendra,Tipo de Leche,Almendra,,,,
Matcha Latte Caliente,matcha_caliente_avena,Tipo de Leche,Avena Oatly,,,,
Matcha Latte Caliente,matcha_caliente_coco,Tipo de Leche,Coco,,,,
Matcha Latte Caliente,matcha_caliente_soya_vainilla,Tipo de Leche,Soya Vainilla,,,,
Matcha Latte Frío,matcha_frio_entera_vaso,Tipo de Leche,Entera,Envase,Vaso,,
Matcha Latte Frío,matcha_frio_light_vaso,Tipo de Leche,Light,Envase,Vaso,,
Matcha Latte Frío,matcha_frio_deslactosada_vaso,Tipo de Leche,Deslactosada,Envase,Vaso,,
Matcha Latte Frío,matcha_frio_almendra_vaso,Tipo de Leche,Almendra,Envase,Vaso,,
Matcha Latte Frío,matcha_frio_avena_vaso,Tipo de Leche,Avena Oatly,Envase,Vaso,,
Matcha Latte Frío,matcha_frio_coco_vaso,Tipo de Leche,Coco,Envase,Vaso,,
Matcha Latte Frío,matcha_frio_soya_vainilla_vaso,Tipo de Leche,Soya Vainilla,Envase,Vaso,,
Matcha Latte Frío,matcha_frio_entera_lata,Tipo de Leche,Entera,Envase,Lata,,
Matcha Latte Frío,matcha_frio_light_lata,Tipo de Leche,Light,Envase,Lata,,
Matcha Latte Frío,matcha_frio_deslactosada_lata,Tipo de Leche,Deslactosada,Envase,Lata,,
Matcha Latte Frío,matcha_frio_almendra_lata,Tipo de Leche,Almendra,Envase,Lata,,
Matcha Latte Frío,matcha_frio_avena_lata,Tipo de Leche,Avena Oatly,Envase,Lata,,
Matcha Latte Frío,matcha_frio_coco_lata,Tipo de Leche,Coco,Envase,Lata,,
Matcha Latte Frío,matcha_frio_soya_vainilla_lata,Tipo de Leche,Soya Vainilla,Envase,Lata,,
Matcha Latte Frappé,matcha_frappe_entera,Tipo de Leche,Entera,,,,
Matcha Latte Frappé,matcha_frappe_light,Tipo de Leche,Light,,,,
Matcha Latte Frappé,matcha_frappe_deslactosada,Tipo de Leche,Deslactosada,,,,
Matcha Latte Frappé,matcha_frappe_almendra,Tipo de Leche,Almendra,,,,
Matcha Latte Frappé,matcha_frappe_avena,Tipo de Leche,Avena Oatly,,,,
Matcha Latte Frappé,matcha_frappe_coco,Tipo de Leche,Coco,,,,
Matcha Latte Frappé,matcha_frappe_soya_vainilla,Tipo de Leche,Soya Vainilla,,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_entera,Tipo de Leche,Entera,,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_light,Tipo de Leche,Light,,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_deslactosada,Tipo de Leche,Deslactosada,,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_almendra,Tipo de Leche,Almendra,,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_avena,Tipo de Leche,Avena Oatly,,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_coco,Tipo de Leche,Coco,,,,
Matcha Ceremonial Caliente,matcha_ceremonial_caliente_soya_vainilla,Tipo de Leche,Soya Vainilla,,,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_entera_vaso,Tipo de Leche,Entera,Envase,Vaso,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_light_vaso,Tipo de Leche,Light,Envase,Vaso,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_deslactosada_vaso,Tipo de Leche,Deslactosada,Envase,Vaso,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_almendra_vaso,Tipo de Leche,Almendra,Envase,Vaso,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_avena_vaso,Tipo de Leche,Avena Oatly,Envase,Vaso,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_coco_vaso,Tipo de Leche,Coco,Envase,Vaso,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_soya_vainilla_vaso,Tipo de Leche,Soya Vainilla,Envase,Vaso,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_entera_lata,Tipo de Leche,Entera,Envase,Lata,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_light_lata,Tipo de Leche,Light,Envase,Lata,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_deslactosada_lata,Tipo de Leche,Deslactosada,Envase,Lata,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_almendra_lata,Tipo de Leche,Almendra,Envase,Lata,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_avena_lata,Tipo de Leche,Avena Oatly,Envase,Lata,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_coco_lata,Tipo de Leche,Coco,Envase,Lata,,
Matcha Ceremonial Frío,matcha_ceremonial_frio_soya_vainilla_lata,Tipo de Leche,Soya Vainilla,Envase,Lata,,
Coco Matcha,coco_matcha_vaso,Envase,Vaso,,,,
Coco Matcha,coco_matcha_lata,Envase,Lata,,,,
Matcha Matcha Matcha,matcha_matcha_entera_vaso,Tipo de Leche,Entera,Envase,Vaso,,
Matcha Matcha Matcha,matcha_matcha_light_vaso,Tipo de Leche,Light,Envase,Vaso,,
Matcha Matcha Matcha,matcha_matcha_deslactosada_vaso,Tipo de Leche,Deslactosada,Envase,Vaso,,
Matcha Matcha Matcha,matcha_matcha_almendra_vaso,Tipo de Leche,Almendra,Envase,Vaso,,
Matcha Matcha Matcha,matcha_matcha_avena_vaso,Tipo de Leche,Avena Oatly,Envase,Vaso,,
Matcha Matcha Matcha,matcha_matcha_coco_vaso,Tipo de Leche,Coco,Envase,Vaso,,
Matcha Matcha Matcha,matcha_matcha_soya_vainilla_vaso,Tipo de Leche,Soya Vainilla,Envase,Vaso,,
Matcha Matcha Matcha,matcha_matcha_entera_lata,Tipo de Leche,Entera,Envase,Lata,,
Matcha Matcha Matcha,matcha_matcha_light_lata,Tipo de Leche,Light,Envase,Lata,,
Matcha Matcha Matcha,matcha_matcha_deslactosada_lata,Tipo de Leche,Deslactosada,Envase,Lata,,
Matcha Matcha Matcha,matcha_matcha_almendra_lata,Tipo de Leche,Almendra,Envase,Lata,,
Matcha Matcha Matcha,matcha_matcha_avena_lata,Tipo de Leche,Avena Oatly,Envase,Lata,,
Matcha Matcha Matcha,matcha_matcha_coco_lata,Tipo de Leche,Coco,Envase,Lata,,
Matcha Matcha Matcha,matcha_matcha_soya_vainilla_lata,Tipo de Leche,Soya Vainilla,Envase,Lata,,
Spiced Chai Caliente,chai_entera,Tipo de Leche,Entera,,,,
Spiced Chai Caliente,chai_light,Tipo de Leche,Light,,,,
Spiced Chai Caliente,chai_deslactosada,Tipo de Leche,Deslactosada,,,,
Spiced Chai Caliente,chai_almendra,Tipo de Leche,Almendra,,,,
Spiced Chai Caliente,chai_avena,Tipo de Leche,Avena Oatly,,,,
Spiced Chai Caliente,chai_coco,Tipo de Leche,Coco,,,,
Spiced Chai Caliente,chai_soya_vainilla,Tipo de Leche,Soya Vainilla,,,,
Spiced Chai Frío,chai_frio_entera_vaso,Tipo de Leche,Entera,Envase,Vaso,,
Spiced Chai Frío,chai_frio_light_vaso,Tipo de Leche,Light,Envase,Vaso,,
Spiced Chai Frío,chai_frio_deslactosada_vaso,Tipo de Leche,Deslactosada,Envase,Vaso,,
Spiced Chai Frío,chai_frio_almendra_vaso,Tipo de Leche,Almendra,Envase,Vaso,,
Spiced Chai Frío,chai_frio_avena_vaso,Tipo de Leche,Avena Oatly,Envase,Vaso,,
Spiced Chai Frío,chai_frio_coco_vaso,Tipo de Leche,Coco,Envase,Vaso,,
Spiced Chai Frío,chai_frio_soya_vainilla_vaso,Tipo de Leche,Soya Vainilla,Envase,Vaso,,
Spiced Chai Frío,chai_frio_entera_lata,Tipo de Leche,Entera,Envase,Lata,,
Spiced Chai Frío,chai_frio_light_lata,Tipo de Leche,Light,Envase,Lata,,
Spiced Chai Frío,chai_frio_deslactosada_lata,Tipo de Leche,Deslactosada,Envase,Lata,,
Spiced Chai Frío,chai_frio_almendra_lata,Tipo de Leche,Almendra,Envase,Lata,,
Spiced Chai Frío,chai_frio_avena_lata,Tipo de Leche,Avena Oatly,Envase,Lata,,
Spiced Chai Frío,chai_frio_coco_lata,Tipo de Leche,Coco,Envase,Lata,,
Spiced Chai Frío,chai_frio_soya_vainilla_lata,Tipo de Leche,Soya Vainilla,Envase,Lata,,
Spiced Chai Frappé,chai_frappe_entera,Tipo de Leche,Entera,,,,
Spiced Chai Frappé,chai_frappe_light,Tipo de Leche,Light,,,,
Spiced Chai Frappé,chai_frappe_deslactosada,Tipo de Leche,Deslactosada,,,,
Spiced Chai Frappé,chai_frappe_almendra,Tipo de Leche,Almendra,,,,
Spiced Chai Frappé,chai_frappe_avena,Tipo de Leche,Avena Oatly,,,,
Spiced Chai Frappé,chai_frappe_coco,Tipo de Leche,Coco,,,,
Spiced Chai Frappé,chai_frappe_soya_vainilla,Tipo de Leche,Soya Vainilla,,,,
