cashback_id,document_id,monto_mxn,fecha,motivo
2613,,14.40,2026-06-26,cashback_sin_relacion_user_lnk
2614,,7.80,2026-06-27,cashback_sin_relacion_user_lnk
2615,,0.00,2026-06-27,cashback_sin_relacion_user_lnk
2616,,18.70,2026-06-27,cashback_sin_relacion_user_lnk
2617,,0.00,2026-06-27,cashback_sin_relacion_user_lnk
2618,,7.80,2026-06-28,cashback_sin_relacion_user_lnk
2619,,9.50,2026-06-28,cashback_sin_relacion_user_lnk
2620,,7.22,2026-06-28,cashback_sin_relacion_user_lnk
2621,,-6.77,2026-06-28,cashback_sin_relacion_user_lnk
2622,,8.80,2026-06-28,cashback_sin_relacion_user_lnk
2623,,5.31,2026-06-29,cashback_sin_relacion_user_lnk
2624,,-46.85,2026-06-29,cashback_sin_relacion_user_lnk
2625,,10.21,2026-06-29,cashback_sin_relacion_user_lnk
2626,,-7.95,2026-06-29,cashback_sin_relacion_user_lnk
2627,,7.80,2026-06-29,cashback_sin_relacion_user_lnk
2628,,10.70,2026-06-29,cashback_sin_relacion_user_lnk
2629,,16.91,2026-06-30,cashback_sin_relacion_user_lnk
2630,,-24.91,2026-06-30,cashback_sin_relacion_user_lnk
2631,,5.60,2026-06-30,cashback_sin_relacion_user_lnk
2632,,-22.00,2026-06-30,cashback_sin_relacion_user_lnk
2633,,11.80,2026-06-30,cashback_sin_relacion_user_lnk
2634,,6.33,2026-06-30,cashback_sin_relacion_user_lnk
2635,,-14.67,2026-06-30,cashback_sin_relacion_user_lnk
2636,,18.00,2026-06-30,cashback_sin_relacion_user_lnk
2637,,0.00,2026-06-30,cashback_sin_relacion_user_lnk
2638,,10.70,2026-06-30,cashback_sin_relacion_user_lnk
2639,,9.50,2026-06-30,cashback_sin_relacion_user_lnk
2640,,17.60,2026-06-30,cashback_sin_relacion_user_lnk
2641,,11.15,2026-07-01,cashback_sin_relacion_user_lnk
2642,,-32.49,2026-07-01,cashback_sin_relacion_user_lnk
2643,,7.80,2026-07-01,cashback_sin_relacion_user_lnk
2644,,6.60,2026-07-01,cashback_sin_relacion_user_lnk
2645,,11.40,2026-07-02,cashback_sin_relacion_user_lnk
2646,,26.80,2026-07-02,cashback_sin_relacion_user_lnk
2647,,4.26,2026-07-02,cashback_sin_relacion_user_lnk
2648,,-36.41,2026-07-02,cashback_sin_relacion_user_lnk
2649,,9.48,2026-07-02,cashback_sin_relacion_user_lnk
2650,,-10.21,2026-07-02,cashback_sin_relacion_user_lnk
2651,,17.70,2026-07-02,cashback_sin_relacion_user_lnk
2652,,7.18,2026-07-02,cashback_sin_relacion_user_lnk
2653,,-7.22,2026-07-02,cashback_sin_relacion_user_lnk
2654,,25.52,2026-07-02,cashback_sin_relacion_user_lnk
2655,,-8.80,2026-07-02,cashback_sin_relacion_user_lnk
2656,,0.00,2026-07-02,cashback_sin_relacion_user_lnk
2657,,10.00,2026-07-03,cashback_sin_relacion_user_lnk
2658,,3.18,2026-07-03,cashback_sin_relacion_user_lnk
2659,,-34.20,2026-07-03,cashback_sin_relacion_user_lnk
2660,,14.49,2026-07-03,cashback_sin_relacion_user_lnk
2661,,-11.15,2026-07-03,cashback_sin_relacion_user_lnk
2662,,7.24,2026-07-05,cashback_sin_relacion_user_lnk
2663,,-5.60,2026-07-05,cashback_sin_relacion_user_lnk
2664,,7.92,2026-07-05,cashback_sin_relacion_user_lnk
2665,,-8.80,2026-07-05,cashback_sin_relacion_user_lnk
2666,,10.70,2026-07-05,cashback_sin_relacion_user_lnk
2667,,8.64,2026-07-05,cashback_sin_relacion_user_lnk
2668,,-8.63,2026-07-05,cashback_sin_relacion_user_lnk
2669,,16.60,2026-07-05,cashback_sin_relacion_user_lnk
2670,,7.80,2026-07-06,cashback_sin_relacion_user_lnk
2671,,9.50,2026-07-06,cashback_sin_relacion_user_lnk
2672,,7.80,2026-07-06,cashback_sin_relacion_user_lnk
2673,,5.05,2026-07-06,cashback_sin_relacion_user_lnk
2674,,-66.50,2026-07-06,cashback_sin_relacion_user_lnk
2675,,7.90,2026-07-06,cashback_sin_relacion_user_lnk
2676,,6.60,2026-07-06,cashback_sin_relacion_user_lnk
2677,,6.60,2026-07-06,cashback_sin_relacion_user_lnk
2678,,4.33,2026-07-06,cashback_sin_relacion_user_lnk
2679,,-22.68,2026-07-06,cashback_sin_relacion_user_lnk
2680,,11.00,2026-07-07,cashback_sin_relacion_user_lnk
2681,,8.64,2026-07-07,cashback_sin_relacion_user_lnk
2682,,-27.56,2026-07-07,cashback_sin_relacion_user_lnk
2683,,25.80,2026-07-07,cashback_sin_relacion_user_lnk
